Transaction_ID,Transaction_Amount,Quantity,Customer_Age,Account_Age_Days,Transaction_Hour,Product_Category,Payment_Method,Device_Used,Address_Match,Is_Fraud,Customer_ID,Transaction_Time,Previous_Transactions_Count,Failed_Transaction_Attempts,Fraud_Label,Fraud_Reason
100030,158.82,5,49,225,0,Books,UPI,Tablet,Yes,0,CUST100030,2026-02-03 16:11:43,26,3,0,Normal Transaction
100031,46.96,4,43,672,5,Groceries,Credit Card,Tablet,Yes,0,CUST100031,2026-02-28 08:57:43,41,1,0,Normal Transaction
100032,334.55,3,34,767,5,Books,Credit Card,Tablet,No,0,CUST100032,2026-03-02 14:26:43,27,0,0,Normal Transaction
100033,300.15,3,33,609,8,Clothing,Debit Card,Mobile,Yes,0,CUST100033,2026-02-08 23:01:43,15,1,0,Normal Transaction
100034,61.93,5,20,660,3,Luxury,Debit Card,Mobile,No,0,CUST100034,2026-02-17 06:40:43,14,3,0,Normal Transaction
100035,215.29,3,37,864,6,Books,PayPal,Laptop,Yes,0,CUST100035,2026-02-16 07:17:43,46,1,0,Normal Transaction
100036,352.26,2,57,641,10,Books,Debit Card,Tablet,Yes,0,CUST100036,2026-01-10 19:29:43,43,3,0,Normal Transaction
100037,36.13,2,52,263,15,Clothing,Debit Card,Mobile,Yes,0,CUST100037,2026-01-12 04:08:43,2,4,0,Normal Transaction
100038,243.04,4,19,897,15,Luxury,UPI,Mobile,No,1,CUST100038,2026-01-01 22:51:43,36,3,1,Location Mismatch
100039,245.13,3,26,233,2,Groceries,UPI,Tablet,No,1,CUST100039,2026-01-22 23:55:43,6,3,1,Multiple Failed Attempts
100040,562.53,4,41,54,23,Books,Debit Card,Mobile,Yes,0,CUST100040,2026-01-04 03:31:43,20,3,0,Normal Transaction
100041,571.0,1,25,420,5,Books,Debit Card,Tablet,Yes,0,CUST100041,2026-01-28 00:03:43,8,4,0,Normal Transaction
100042,260.74,1,52,153,17,Books,PayPal,Tablet,Yes,0,CUST100042,2025-12-24 08:58:43,38,2,0,Normal Transaction
100043,238.71,3,33,957,8,Luxury,Credit Card,Laptop,Yes,0,CUST100043,2026-03-03 05:53:43,17,3,0,Normal Transaction
100044,5.47,5,37,504,7,Luxury,Debit Card,Tablet,Yes,1,CUST100044,2026-01-18 09:07:43,3,2,1,Multiple Failed Attempts
100045,321.54,1,29,955,18,Luxury,PayPal,Tablet,No,1,CUST100045,2026-01-11 21:04:43,24,0,1,Multiple Failed Attempts
100046,86.49,5,25,283,1,Clothing,UPI,Mobile,No,0,CUST100046,2026-02-18 12:26:43,13,1,0,Normal Transaction
100047,310.78,1,22,829,15,Electronics,Credit Card,Laptop,Yes,0,CUST100047,2026-02-06 23:12:43,49,2,0,Normal Transaction
100048,7.38,1,34,172,13,Books,Credit Card,Laptop,No,1,CUST100048,2026-01-20 22:06:43,8,0,1,High Transaction Amount
100049,138.69,1,54,280,16,Clothing,PayPal,Laptop,Yes,0,CUST100049,2025-12-25 02:15:43,25,1,0,Normal Transaction
100050,254.79,4,50,116,20,Groceries,Debit Card,Laptop,Yes,0,CUST100050,2026-02-09 08:36:43,1,3,0,Normal Transaction
100051,93.79,3,35,793,9,Luxury,Debit Card,Mobile,No,1,CUST100051,2026-01-30 02:30:43,19,3,1,Location Mismatch
100052,357.25,2,49,943,21,Clothing,Credit Card,Laptop,Yes,0,CUST100052,2026-01-26 21:58:43,27,3,0,Normal Transaction
100053,87.97,2,19,986,16,Clothing,Credit Card,Mobile,No,1,CUST100053,2026-01-26 06:43:43,46,4,1,Multiple Failed Attempts
100054,44.07,5,59,759,2,Electronics,UPI,Mobile,No,0,CUST100054,2026-01-30 19:53:43,6,4,0,Normal Transaction
100055,283.65,4,24,825,3,Groceries,Debit Card,Mobile,Yes,1,CUST100055,2026-01-17 18:29:43,43,4,1,High Transaction Amount
100056,314.92,4,40,143,1,Books,PayPal,Mobile,No,0,CUST100056,2026-01-07 09:28:43,7,4,0,Normal Transaction
100057,259.02,3,42,698,21,Luxury,Credit Card,Tablet,Yes,1,CUST100057,2026-01-09 04:14:43,46,0,1,Multiple Failed Attempts
100058,9.29,4,59,838,14,Books,Credit Card,Mobile,No,0,CUST100058,2026-01-13 22:12:43,34,0,0,Normal Transaction
100059,40.77,1,25,53,11,Clothing,Debit Card,Mobile,No,1,CUST100059,2025-12-24 02:02:43,13,3,1,Location Mismatch
100060,183.34,5,49,884,14,Clothing,UPI,Tablet,No,1,CUST100060,2026-02-28 07:07:43,16,1,1,Normal Transaction
100061,44.67,5,59,670,18,Luxury,PayPal,Tablet,Yes,1,CUST100061,2026-01-11 08:25:43,35,4,1,Location Mismatch
100062,94.76,4,43,741,20,Groceries,UPI,Tablet,Yes,0,CUST100062,2026-01-09 13:46:43,49,1,0,Normal Transaction
100063,167.75,4,18,58,0,Groceries,Debit Card,Laptop,Yes,1,CUST100063,2026-02-09 16:03:43,39,0,1,Normal Transaction
100064,82.25,1,57,237,20,Books,Debit Card,Tablet,Yes,0,CUST100064,2025-12-28 18:26:43,3,4,0,Normal Transaction
100065,218.13,5,39,861,22,Clothing,UPI,Mobile,No,0,CUST100065,2025-12-29 04:53:43,1,0,0,Normal Transaction
100066,250.44,3,54,86,13,Electronics,UPI,Laptop,Yes,0,CUST100066,2026-01-26 16:04:43,5,0,0,Normal Transaction
100067,29.67,4,22,204,15,Luxury,UPI,Tablet,No,0,CUST100067,2026-01-08 11:05:43,41,2,0,Normal Transaction
100068,202.96,4,50,254,4,Luxury,PayPal,Laptop,Yes,0,CUST100068,2026-03-03 02:17:43,3,0,0,Normal Transaction
100069,287.02,5,53,802,19,Electronics,Credit Card,Laptop,No,0,CUST100069,2025-12-25 00:17:43,28,3,0,Normal Transaction
100070,294.94,2,49,769,23,Groceries,Credit Card,Laptop,No,1,CUST100070,2026-02-07 17:57:43,17,0,1,Suspicious Device
100071,53.36,2,45,896,19,Clothing,UPI,Mobile,Yes,0,CUST100071,2026-02-18 17:30:43,25,4,0,Normal Transaction
100072,147.39,4,50,929,18,Books,PayPal,Mobile,No,1,CUST100072,2026-01-23 08:59:43,43,3,1,Suspicious Device
100073,295.0,1,50,168,9,Electronics,UPI,Laptop,No,0,CUST100073,2026-01-30 01:25:43,33,0,0,Normal Transaction
100074,96.05,4,48,302,1,Electronics,PayPal,Mobile,No,0,CUST100074,2026-01-23 23:01:43,9,3,0,Normal Transaction
100075,288.9,1,43,776,9,Luxury,Credit Card,Tablet,Yes,0,CUST100075,2026-02-04 13:42:43,35,0,0,Normal Transaction
100076,505.36,1,24,196,20,Electronics,Credit Card,Laptop,Yes,0,CUST100076,2026-01-10 14:12:43,13,3,0,Normal Transaction
100077,827.72,4,42,277,3,Clothing,Credit Card,Laptop,No,0,CUST100077,2026-01-03 22:19:43,30,1,0,Normal Transaction
100078,416.63,3,52,548,17,Electronics,Credit Card,Tablet,Yes,0,CUST100078,2026-01-12 23:25:43,47,2,0,Normal Transaction
100079,260.64,5,29,369,22,Clothing,Debit Card,Laptop,Yes,0,CUST100079,2026-03-03 08:26:43,14,3,0,Normal Transaction
100080,421.39,1,47,273,16,Luxury,Debit Card,Mobile,No,1,CUST100080,2026-02-12 14:04:43,7,4,1,Location Mismatch
100081,525.4,5,36,177,3,Groceries,Debit Card,Laptop,No,0,CUST100081,2026-02-27 00:56:43,13,2,0,Normal Transaction
100082,707.37,4,26,455,13,Luxury,Debit Card,Laptop,Yes,1,CUST100082,2026-02-18 09:59:43,22,2,1,Normal Transaction
100083,197.64,2,33,885,4,Luxury,PayPal,Tablet,No,0,CUST100083,2026-02-15 00:52:43,39,0,0,Normal Transaction
100084,119.55,3,38,484,20,Electronics,Credit Card,Laptop,No,1,CUST100084,2026-01-11 23:27:43,20,3,1,Normal Transaction
100085,467.65,5,59,186,6,Luxury,UPI,Tablet,No,1,CUST100085,2026-01-02 15:23:43,15,2,1,High Transaction Amount
100086,17.25,3,40,733,10,Electronics,PayPal,Tablet,No,1,CUST100086,2026-02-24 23:50:43,44,4,1,Multiple Failed Attempts
100087,1038.78,1,27,954,11,Clothing,Debit Card,Tablet,Yes,1,CUST100087,2026-02-21 09:52:43,17,4,1,High Transaction Amount
100088,546.94,5,57,170,8,Electronics,Credit Card,Laptop,No,1,CUST100088,2026-02-17 14:46:43,46,4,1,Suspicious Device
100089,367.5,5,46,165,5,Clothing,Debit Card,Laptop,No,1,CUST100089,2026-01-17 02:56:43,23,0,1,Location Mismatch
100090,140.65,1,39,500,16,Electronics,UPI,Mobile,No,1,CUST100090,2025-12-31 18:57:43,25,1,1,Multiple Failed Attempts
100091,1280.63,4,53,70,18,Luxury,Debit Card,Tablet,No,1,CUST100091,2026-01-26 22:26:43,24,3,1,Normal Transaction
100092,245.21,3,27,858,18,Luxury,Credit Card,Tablet,Yes,0,CUST100092,2026-02-18 01:47:43,44,2,0,Normal Transaction
100093,203.55,5,45,638,19,Clothing,UPI,Tablet,No,0,CUST100093,2026-02-02 21:07:43,40,3,0,Normal Transaction
100094,37.51,1,56,1,2,Groceries,UPI,Mobile,No,1,CUST100094,2026-02-20 15:41:43,28,2,1,High Transaction Amount
100095,982.42,4,42,824,0,Electronics,UPI,Tablet,Yes,0,CUST100095,2026-01-06 14:09:43,14,0,0,Normal Transaction
100096,990.86,4,49,173,14,Groceries,Credit Card,Tablet,Yes,0,CUST100096,2026-02-02 15:20:43,44,3,0,Normal Transaction
100097,225.04,3,54,676,2,Clothing,Credit Card,Mobile,No,1,CUST100097,2026-01-05 05:31:43,0,0,1,Suspicious Device
100098,23.53,1,31,143,0,Groceries,Debit Card,Laptop,No,1,CUST100098,2026-01-30 22:40:43,24,0,1,Normal Transaction
100099,263.35,1,28,12,9,Books,PayPal,Tablet,Yes,1,CUST100099,2025-12-30 11:54:43,6,3,1,Multiple Failed Attempts
100100,662.9,4,41,668,20,Groceries,Debit Card,Mobile,Yes,0,CUST100100,2026-01-24 09:41:43,8,3,0,Normal Transaction
100101,62.52,2,25,698,17,Books,Debit Card,Tablet,No,0,CUST100101,2026-02-18 10:17:43,23,2,0,Normal Transaction
100102,134.05,4,44,502,16,Luxury,Credit Card,Tablet,No,0,CUST100102,2026-01-14 12:21:43,0,4,0,Normal Transaction
100103,158.9,5,45,752,12,Books,PayPal,Tablet,No,1,CUST100103,2026-01-31 16:23:43,43,0,1,Location Mismatch
100104,518.7,2,22,815,1,Luxury,Credit Card,Laptop,No,0,CUST100104,2026-01-04 18:12:43,7,1,0,Normal Transaction
100105,627.85,3,22,119,23,Electronics,Credit Card,Tablet,No,0,CUST100105,2025-12-29 07:09:43,23,2,0,Normal Transaction
100106,499.09,1,28,853,21,Electronics,Debit Card,Mobile,Yes,0,CUST100106,2026-01-08 04:00:43,10,2,0,Normal Transaction
100107,252.55,1,51,105,2,Electronics,UPI,Mobile,No,0,CUST100107,2026-01-30 08:47:43,16,4,0,Normal Transaction
100108,4.13,4,34,709,4,Books,Debit Card,Laptop,No,1,CUST100108,2026-01-26 17:53:43,7,4,1,Normal Transaction
100109,243.2,5,54,714,9,Books,PayPal,Tablet,Yes,0,CUST100109,2026-01-13 21:46:43,34,0,0,Normal Transaction
100110,82.76,1,18,51,12,Clothing,Credit Card,Laptop,Yes,0,CUST100110,2026-02-01 23:19:43,34,2,0,Normal Transaction
100111,77.88,1,57,800,1,Luxury,Credit Card,Mobile,Yes,0,CUST100111,2026-01-14 21:27:43,32,2,0,Normal Transaction
100112,36.16,2,51,438,21,Clothing,UPI,Mobile,No,1,CUST100112,2026-02-14 14:57:43,4,1,1,Multiple Failed Attempts
100113,110.35,1,22,990,16,Electronics,Credit Card,Laptop,Yes,0,CUST100113,2026-01-29 00:07:43,41,0,0,Normal Transaction
100114,8.76,5,38,910,1,Electronics,PayPal,Laptop,No,1,CUST100114,2026-01-10 15:46:43,38,0,1,Location Mismatch
100115,700.38,4,51,806,17,Groceries,PayPal,Laptop,Yes,0,CUST100115,2026-01-25 07:12:43,40,4,0,Normal Transaction
100116,149.39,3,51,308,5,Clothing,Credit Card,Mobile,No,1,CUST100116,2026-01-01 04:58:43,27,0,1,Suspicious Device
100117,723.96,2,34,133,3,Electronics,UPI,Mobile,No,1,CUST100117,2026-01-05 05:20:43,6,1,1,Normal Transaction
100118,553.72,1,37,984,4,Luxury,Debit Card,Mobile,Yes,1,CUST100118,2026-01-09 18:53:43,8,0,1,Location Mismatch
100119,203.55,5,28,883,14,Clothing,PayPal,Mobile,No,0,CUST100119,2026-01-29 19:24:43,7,3,0,Normal Transaction
100120,41.11,3,33,520,3,Electronics,UPI,Mobile,Yes,0,CUST100120,2025-12-28 09:47:43,11,3,0,Normal Transaction
100121,127.24,3,49,195,17,Luxury,PayPal,Laptop,No,1,CUST100121,2026-01-15 05:50:43,33,1,1,Location Mismatch
100122,76.02,5,22,466,9,Groceries,Debit Card,Mobile,No,0,CUST100122,2026-02-03 08:27:43,32,4,0,Normal Transaction
100123,27.87,1,22,233,11,Luxury,PayPal,Mobile,Yes,0,CUST100123,2026-03-03 07:41:43,47,2,0,Normal Transaction
100124,135.89,2,44,73,14,Books,UPI,Tablet,Yes,0,CUST100124,2026-02-22 02:34:43,22,0,0,Normal Transaction
100125,25.59,3,34,26,3,Books,Credit Card,Laptop,No,1,CUST100125,2026-02-24 05:14:43,23,4,1,Location Mismatch
100126,413.81,5,32,303,23,Groceries,PayPal,Mobile,Yes,0,CUST100126,2026-02-18 15:29:43,36,4,0,Normal Transaction
100127,288.9,2,43,526,23,Luxury,Credit Card,Laptop,Yes,0,CUST100127,2026-01-09 11:22:43,34,0,0,Normal Transaction
100128,348.62,3,35,506,5,Clothing,UPI,Mobile,No,1,CUST100128,2026-02-20 09:50:43,43,2,1,Location Mismatch
100129,83.31,1,54,28,9,Groceries,Debit Card,Laptop,Yes,0,CUST100129,2026-02-17 09:27:43,39,0,0,Normal Transaction
100130,551.11,2,42,145,12,Electronics,PayPal,Mobile,No,1,CUST100130,2026-01-22 16:39:43,21,2,1,Location Mismatch
100131,340.99,3,58,109,17,Electronics,UPI,Mobile,No,0,CUST100131,2026-03-03 10:00:43,26,1,0,Normal Transaction
100132,231.08,2,25,936,16,Books,PayPal,Mobile,No,1,CUST100132,2026-02-16 13:11:43,34,2,1,Suspicious Device
100133,142.82,5,23,692,1,Books,UPI,Laptop,Yes,0,CUST100133,2026-02-07 03:13:43,0,4,0,Normal Transaction
100134,206.89,5,50,437,21,Groceries,PayPal,Tablet,No,0,CUST100134,2026-02-11 06:32:43,34,1,0,Normal Transaction
100135,136.41,4,47,843,23,Clothing,UPI,Mobile,No,1,CUST100135,2026-02-26 19:15:43,36,3,1,Multiple Failed Attempts
100136,25.09,3,48,40,4,Clothing,PayPal,Tablet,Yes,1,CUST100136,2026-01-21 01:21:43,46,1,1,Location Mismatch
100137,35.65,2,37,732,10,Electronics,PayPal,Mobile,Yes,0,CUST100137,2026-02-13 06:15:43,13,2,0,Normal Transaction
100138,509.6,1,47,504,5,Electronics,Credit Card,Mobile,No,1,CUST100138,2026-01-26 02:34:43,2,1,1,Location Mismatch
100139,795.12,3,25,26,18,Books,Credit Card,Laptop,No,1,CUST100139,2026-01-07 10:35:43,0,1,1,High Transaction Amount
100140,68.85,2,21,787,19,Electronics,UPI,Tablet,Yes,0,CUST100140,2026-01-19 12:07:43,4,3,0,Normal Transaction
100141,83.28,1,43,654,5,Electronics,Credit Card,Mobile,Yes,0,CUST100141,2026-01-30 00:05:43,25,2,0,Normal Transaction
100142,50.3,4,30,259,0,Books,PayPal,Tablet,No,0,CUST100142,2026-02-12 03:08:43,13,4,0,Normal Transaction
100143,181.69,5,40,650,11,Clothing,UPI,Laptop,No,0,CUST100143,2026-01-12 20:02:43,38,1,0,Normal Transaction
100144,346.15,4,18,319,4,Clothing,Credit Card,Mobile,No,0,CUST100144,2026-02-01 12:58:43,26,0,0,Normal Transaction
100145,37.23,3,47,95,16,Books,PayPal,Tablet,No,1,CUST100145,2026-02-26 18:41:43,8,4,1,Multiple Failed Attempts
100146,411.1,2,31,885,23,Electronics,UPI,Mobile,No,1,CUST100146,2026-02-14 01:54:43,14,1,1,High Transaction Amount
100147,68.82,3,52,513,7,Electronics,Debit Card,Tablet,Yes,0,CUST100147,2026-01-24 04:09:43,14,4,0,Normal Transaction
100148,14.79,5,25,779,8,Groceries,UPI,Mobile,No,1,CUST100148,2026-02-13 10:34:43,25,0,1,Suspicious Device
100149,482.14,3,38,165,4,Electronics,UPI,Tablet,No,0,CUST100149,2026-02-20 01:40:43,41,4,0,Normal Transaction
100150,301.34,4,42,749,9,Electronics,UPI,Tablet,No,0,CUST100150,2026-01-22 09:22:43,12,4,0,Normal Transaction
100151,508.82,3,55,865,22,Groceries,PayPal,Mobile,Yes,0,CUST100151,2026-02-24 00:13:43,31,0,0,Normal Transaction
100152,258.46,1,50,503,1,Electronics,Debit Card,Tablet,No,1,CUST100152,2026-02-23 00:45:43,38,0,1,Suspicious Device
100153,710.85,3,56,947,5,Groceries,Credit Card,Laptop,Yes,1,CUST100153,2026-02-10 04:19:43,48,0,1,Location Mismatch
100154,296.42,2,32,623,0,Groceries,UPI,Laptop,No,1,CUST100154,2026-01-21 07:02:43,31,3,1,Multiple Failed Attempts
100155,672.99,4,46,550,0,Books,Debit Card,Mobile,Yes,1,CUST100155,2026-02-27 15:13:43,3,0,1,Location Mismatch
100156,452.3,1,21,598,1,Groceries,PayPal,Mobile,Yes,1,CUST100156,2026-01-13 02:27:43,29,4,1,Location Mismatch
100157,628.1,1,55,909,14,Luxury,UPI,Laptop,Yes,1,CUST100157,2026-02-08 23:44:43,36,0,1,Suspicious Device
100158,40.91,5,25,261,14,Groceries,Credit Card,Tablet,Yes,0,CUST100158,2025-12-29 12:38:43,22,1,0,Normal Transaction
100159,443.37,3,48,627,18,Clothing,UPI,Tablet,No,1,CUST100159,2026-02-26 14:36:43,38,0,1,Suspicious Device
100160,377.82,3,22,660,10,Electronics,UPI,Laptop,Yes,1,CUST100160,2026-01-12 12:58:43,44,0,1,Normal Transaction
100161,125.8,2,29,218,12,Clothing,Credit Card,Tablet,Yes,0,CUST100161,2026-02-13 08:50:43,14,2,0,Normal Transaction
100162,31.87,1,57,828,10,Electronics,Debit Card,Tablet,No,1,CUST100162,2025-12-29 18:10:43,42,4,1,Normal Transaction
100163,249.81,4,22,888,4,Electronics,UPI,Mobile,Yes,0,CUST100163,2026-03-02 21:52:43,28,4,0,Normal Transaction
100164,49.65,4,48,378,8,Books,Credit Card,Laptop,No,1,CUST100164,2025-12-25 22:56:43,35,1,1,Multiple Failed Attempts
100165,400.05,1,39,779,22,Books,Credit Card,Laptop,Yes,0,CUST100165,2026-01-07 11:14:43,12,3,0,Normal Transaction
100166,80.72,2,53,182,22,Groceries,PayPal,Mobile,Yes,1,CUST100166,2026-01-23 07:59:43,31,2,1,Normal Transaction
100167,611.83,3,57,911,20,Books,Credit Card,Tablet,No,0,CUST100167,2026-01-07 16:53:43,6,1,0,Normal Transaction
100168,409.07,2,43,937,2,Books,Credit Card,Mobile,No,0,CUST100168,2025-12-26 19:01:43,21,1,0,Normal Transaction
100169,231.26,3,55,386,6,Groceries,PayPal,Tablet,Yes,0,CUST100169,2026-02-26 11:29:43,27,4,0,Normal Transaction
100170,401.25,1,41,25,6,Luxury,Debit Card,Mobile,Yes,0,CUST100170,2026-01-29 00:59:43,1,2,0,Normal Transaction
100171,10.34,1,46,63,10,Luxury,UPI,Mobile,Yes,1,CUST100171,2026-01-15 10:53:43,41,4,1,Suspicious Device
100172,3.95,5,24,849,19,Electronics,PayPal,Laptop,Yes,0,CUST100172,2026-01-02 03:38:43,44,3,0,Normal Transaction
100173,244.46,4,57,561,6,Electronics,PayPal,Tablet,No,1,CUST100173,2026-02-14 11:00:43,5,4,1,Suspicious Device
100174,20.83,3,36,318,16,Clothing,Credit Card,Mobile,Yes,0,CUST100174,2026-02-28 15:12:43,27,0,0,Normal Transaction
100175,191.64,3,35,769,13,Clothing,UPI,Laptop,No,1,CUST100175,2026-01-27 06:35:43,27,4,1,Multiple Failed Attempts
100176,225.01,4,47,678,18,Luxury,Credit Card,Mobile,No,0,CUST100176,2026-01-19 10:35:43,43,0,0,Normal Transaction
100177,60.24,5,56,643,9,Luxury,Credit Card,Tablet,No,0,CUST100177,2026-02-10 19:15:43,43,1,0,Normal Transaction
100178,309.85,4,50,87,22,Clothing,Credit Card,Laptop,No,0,CUST100178,2025-12-31 11:47:43,19,3,0,Normal Transaction
100179,377.6,5,25,833,22,Luxury,Debit Card,Tablet,Yes,0,CUST100179,2026-01-16 08:08:43,29,0,0,Normal Transaction
100180,65.49,5,25,54,14,Groceries,UPI,Tablet,No,1,CUST100180,2026-01-14 14:27:43,10,3,1,Normal Transaction
100181,655.34,4,25,418,2,Electronics,Debit Card,Laptop,No,0,CUST100181,2026-01-23 18:41:43,27,4,0,Normal Transaction
100182,384.33,3,33,452,19,Books,UPI,Tablet,Yes,0,CUST100182,2026-01-09 01:23:43,24,4,0,Normal Transaction
100183,68.82,2,24,330,6,Luxury,PayPal,Mobile,Yes,1,CUST100183,2026-02-16 22:05:43,38,1,1,Multiple Failed Attempts
100184,565.42,5,36,548,17,Groceries,Debit Card,Mobile,No,1,CUST100184,2026-01-05 12:44:43,32,4,1,Suspicious Device
100185,510.21,4,28,746,1,Electronics,UPI,Laptop,Yes,0,CUST100185,2026-01-24 08:45:43,0,0,0,Normal Transaction
100186,10.45,4,22,805,5,Books,UPI,Tablet,No,1,CUST100186,2026-02-22 00:52:43,26,1,1,Location Mismatch
100187,135.18,5,52,500,21,Luxury,UPI,Tablet,No,1,CUST100187,2026-01-14 15:40:43,12,3,1,Multiple Failed Attempts
100188,36.39,3,40,128,16,Books,UPI,Tablet,Yes,0,CUST100188,2026-02-07 20:28:43,40,1,0,Normal Transaction
100189,215.51,1,57,962,12,Clothing,UPI,Laptop,No,1,CUST100189,2026-02-05 10:36:43,2,3,1,Suspicious Device
100190,73.78,3,21,666,12,Clothing,Credit Card,Mobile,No,1,CUST100190,2026-02-27 15:09:43,38,2,1,Suspicious Device
100191,344.83,2,38,42,3,Clothing,UPI,Laptop,Yes,1,CUST100191,2026-01-07 16:01:43,5,0,1,Normal Transaction
100192,20.86,5,42,998,11,Luxury,UPI,Tablet,No,0,CUST100192,2026-01-30 02:00:43,7,0,0,Normal Transaction
100193,3.32,5,44,825,5,Books,Credit Card,Mobile,No,1,CUST100193,2025-12-31 17:11:43,26,3,1,Location Mismatch
100194,86.6,5,24,906,12,Clothing,UPI,Laptop,No,1,CUST100194,2026-02-05 13:37:43,8,4,1,Multiple Failed Attempts
100195,155.45,2,19,822,10,Clothing,Debit Card,Mobile,Yes,0,CUST100195,2026-02-20 21:38:43,36,4,0,Normal Transaction
100196,28.4,3,43,29,20,Groceries,PayPal,Laptop,Yes,0,CUST100196,2026-02-23 14:16:43,32,2,0,Normal Transaction
100197,172.45,4,56,744,2,Groceries,UPI,Laptop,No,1,CUST100197,2026-02-28 19:11:43,41,3,1,High Transaction Amount
100198,151.58,5,50,762,3,Groceries,Debit Card,Laptop,No,1,CUST100198,2026-01-26 10:51:43,43,2,1,Multiple Failed Attempts
100199,53.03,4,34,958,12,Electronics,Credit Card,Tablet,Yes,0,CUST100199,2026-02-03 15:37:43,23,3,0,Normal Transaction
100200,292.92,2,26,713,7,Clothing,Debit Card,Laptop,No,1,CUST100200,2026-03-01 07:29:43,14,2,1,Suspicious Device
